"Index","Company","TypeName","Inches","ScreenType","Pixels_hor","Pixels_ver","Touchscreen","Cpu_brand","Cpu_name","Cpu_speed","Ram","Memory_type","Primary_Memory","Secondary_Memory","Gpu_brand","Gpu_name","OpSys","Weight","Price"
75,"Acer","Notebook",14.0,"N/A",1366,768,0,"Intel"," Core i3 6006U ",2.0,8,"HDD",1024,0,"Intel","HD Graphics 520","WindowsOS",2.1,20726.0
76,"Asus","Gaming",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,8,"HDD",1024,0,"Nvidia","GeForce GTX 1050","WindowsOS",2.2,50563.0
77,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,8,"HDD",2048,0,"Intel","HD Graphics 620","N/A",2.2,27652.0
78,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"Hybrid",128,1024,"Intel","UHD Graphics 620","WindowsOS",2.02,45554.0
79,"Acer","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 7130U ",2.7,4,"HDD",1024,0,"Nvidia","GeForce MX130","WindowsOS",2.2,28238.0
80,"HP","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"Hybrid",128,1024,"Nvidia","GeForce 930MX","WindowsOS",2.5,52055.0
81,"Dell","Ultrabook",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.88,58403.0
82,"Apple","Ultrabook",12.0,"IPS Panel Retina Display",2304,1440,0,"Intel"," Core i5 ",1.3,8,"SSD",512,0,"Intel","HD Graphics 615","MacOS",0.92,80453.0
83,"HP","Notebook",14.0,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.63,45821.0
84,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"AMD"," A6-Series 9220 ",2.5,4,"SSD",128,0,"AMD","R4 Graphics","WindowsOS",2.2,21259.0
85,"Acer","Notebook",15.6,"N/A",1366,768,0,"AMD"," A9-Series 9420 ",3.0,4,"HDD",1024,0,"AMD","Radeon R5","WindowsOS",2.1,21046.0
86,"Dell","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",128,1024,"Nvidia","GeForce GTX 1050 Ti","WindowsOS",2.65,71875.0
87,"HP","Ultrabook",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Nvidia","GeForce GTX 940MX","WindowsOS",1.83,37243.0
88,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.96,31914.0
89,"Asus","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",128,1024,"Nvidia","GeForce GTX 1060","WindowsOS",2.2,77203.0
90,"Dell","Ultrabook",13.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.21,87859.0
91,"Asus","Gaming",15.6,"Full HD",1920,1080,0,"AMD"," FX 9830P ",3.0,8,"HDD",1024,0,"AMD","Radeon RX 560","WindowsOS",2.45,37243.0
92,"Acer","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,2,"HDD",1024,0,"Nvidia","GeForce MX150","WindowsOS",2.2,36710.0
93,"HP","Notebook",13.3,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"SSD",512,0,"Intel","UHD Graphics 620","WindowsOS",1.49,63776.0
94,"Dell","Gaming",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7300HQ ",2.5,8,"SSD",256,0,"Nvidia","GeForce GTX 1060","WindowsOS",2.65,63670.0
95,"Asus","Ultrabook",14.0,"Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.25,55891.0
96,"Acer","2 in 1 Convertible",13.3,"IPS Panel Full HD",1920,1080,1,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.5,45128.0
97,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"HDD",1024,0,"AMD","Radeon R5 M430","LinuxOS",2.2,31963.0
98,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"SSD",256,0,"AMD","Radeon R5 M430","LinuxOS",2.2,25841.0
99,"Asus","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 7100U ",2.4,6,"SSD",256,0,"Nvidia","GeForce 920M","WindowsOS",2.0,30743.0
100,"HP","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,12,"Hybrid",128,1024,"Nvidia","GeForce GTX 1050","WindowsOS",2.62,66547.0
101,"HP","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"AMD","Radeon 530","WindowsOS",1.91,38308.0
102,"HP","Notebook",15.6,"Full HD",1920,1080,0,"AMD"," E-Series E2-9000e ",1.5,4,"HDD",500,0,"AMD","Radeon R2","WindowsOS",2.1,18595.0
103,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"HDD",1024,0,"AMD","Radeon 520","LinuxOS",2.2,34472.0
104,"HP","Ultrabook",13.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"Nvidia","GeForce MX150","WindowsOS",1.38,59620.0
105,"Microsoft","Ultrabook",13.5,"N/A",2256,1504,1,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.252,71395.0
106,"HP","Notebook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,6,"SSD",256,0,"Nvidia","GeForce 940MX","WindowsOS",1.58,35112.0
107,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"Intel","HD Graphics 520","WindowsOS",1.85,22106.0
108,"Asus","Ultrabook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"Nvidia","GeForce 940MX","WindowsOS",1.3,63563.0
109,"MSI","Gaming",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",256,1024,"Nvidia","GeForce GTX 1050 Ti","WindowsOS",2.2,69211.0
110,"Lenovo","Notebook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7500U ",2.7,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.58,78854.0
111,"Asus","Ultrabook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"Hybrid",256,1024,"Nvidia","GeForce MX150","WindowsOS",1.5,67239.0
112,"Dell","Ultrabook",13.3,"Quad HD+",3200,1800,1,"Intel"," Core i7 7560U ",2.4,8,"SSD",256,0,"Intel","Iris Plus Graphics 640","WindowsOS",1.23,73473.0
113,"Lenovo","2 in 1 Convertible",13.3,"IPS Panel Full HD",1920,1080,1,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.37,74539.0
114,"HP","Notebook",14.0,"IPS Panel",1366,768,0,"Intel"," Core i5 8250U ",1.6,4,"HDD",500,0,"Intel","UHD Graphics 620","WindowsOS",1.63,38468.0
115,"Dell","Ultrabook",13.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.21,86793.0
117,"HP","Notebook",14.0,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",512,0,"Intel","UHD Graphics 620","WindowsOS",1.63,57756.0
118,"Dell","Notebook",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"Hybrid",256,1024,"Nvidia","GeForce 940MX","WindowsOS",2.16,60224.0
119,"Asus","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"Nvidia","GeForce 920MX","WindowsOS",2.0,30050.0
120,"Asus","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Nvidia","GeForce 940MX","WindowsOS",1.7,59567.0
121,"Acer","Notebook",15.6,"IPS Panel Full HD",1920,1080,1,"Intel"," Core i3 7100U ",2.4,6,"HDD",1024,0,"Intel","HD Graphics 620","WindowsOS",2.1,25521.0
122,"MSI","Gaming",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"Hybrid",256,2048,"Nvidia","GeForce GTX 1070","WindowsOS",1.8,119427.0
123,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,8,"SSD",256,0,"Nvidia","GeForce 940MX","N/A",2.2,33513.0
124,"HP","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"SSD",512,0,"Nvidia","GeForce 930MX ","WindowsOS",2.5,67719.0
125,"Acer","Notebook",15.6,"N/A",1366,768,0,"AMD"," A9-Series 9420 ",3.0,4,"SSD",256,0,"AMD","Radeon R5","WindowsOS",2.1,24029.0
127,"HP","Notebook",14.0,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"HDD",1024,0,"Intel","UHD Graphics 620","WindowsOS",1.63,43263.0
128,"Asus","Notebook",14.0,"N/A",1366,768,0,"AMD"," E-Series 6110 ",1.5,4,"SSD",64,0,"AMD","Radeon R2","WindowsOS",1.65,14811.0
129,"Dell","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,16,"Hybrid",256,2048,"AMD","Radeon 530","WindowsOS",2.8,74379.0
130,"HP","Notebook",17.3,"Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",2.5,49444.0
131,"Dell","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 7200U ",2.5,8,"HDD",1024,0,"AMD","Radeon R7 M445","WindowsOS",2.36,34045.0
132,"Dell","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"AMD","Radeon R5 M430","WindowsOS",2.2,23923.0
133,"Acer","Ultrabook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.6,47100.0
134,"Acer","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i3 7130U ",2.7,4,"SSD",256,0,"Nvidia","GeForce MX130","WindowsOS",7.2,30476.0
135,"HP","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i7 7500U ",2.7,8,"HDD",1024,0,"Intel","HD Graphics 620","WindowsOS",2.05,31861.0
136,"HP","Notebook",14.0,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.63,52641.0
137,"Lenovo","Notebook",15.6,"N/A",1366,768,0,"Intel"," Celeron Dual Core N3350 ",1.1,4,"HDD",1024,0,"Intel","HD Graphics 500","N/A",1.9,13446.0
138,"Asus","Gaming",17.3,"Full HD",1920,1080,0,"Intel"," Core i5 7300HQ ",2.5,8,"Hybrid",128,1024,"Nvidia","GeForce GTX 1050","WindowsOS",3.0,49977.0
139,"Lenovo","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,4,"HDD",1024,0,"Nvidia","GeForce 920MX","N/A",2.2,26587.0
140,"HP","Notebook",13.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 7200U ",2.5,4,"SSD",256,0,"Intel","HD Graphics 620","WindowsOS",1.32,37243.0
141,"Acer","Notebook",17.3,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i3 7130U ",2.7,4,"HDD",1024,0,"Nvidia","GeForce MX130","WindowsOS",3.0,34898.0
142,"Lenovo","Notebook",14.0,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i5 8250U ",1.6,8,"SSD",256,0,"AMD","Radeon RX 550","WindowsOS",1.75,59462.0
143,"Lenovo","Gaming",15.6,"IPS Panel Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,8,"SSD",256,0,"Nvidia","GeForce GTX 1050M","N/A",2.4,46300.0
144,"Toshiba","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i5 6200U ",2.3,4,"HDD",500,0,"Intel","HD Graphics 520","WindowsOS",2.1,32075.0
145,"HP","Notebook",15.6,"N/A",1366,768,0,"AMD"," A6-Series 9220 ",2.5,4,"SSD",256,0,"AMD","Radeon R4 Graphics","WindowsOS",1.86,19660.0
146,"Asus","Ultrabook",14.0,"Full HD",1920,1080,0,"Intel"," Core i7 8550U ",1.8,8,"SSD",256,0,"Intel","UHD Graphics 620","WindowsOS",1.25,58555.0
147,"HP","Ultrabook",12.5,"IPS Panel 4K Ultra HD",3840,2160,1,"Intel"," Core M 6Y75 ",1.2,8,"SSD",512,0,"Intel","HD Graphics 515","WindowsOS",0.97,107306.0
148,"Asus","Notebook",15.6,"Full HD",1920,1080,0,"Intel"," Celeron Dual Core N3350 ",1.1,4,"HDD",1024,0,"Intel","HD Graphics 500","WindowsOS",2.0,18328.0
150,"Acer","Notebook",15.6,"N/A",1366,768,0,"Intel"," Core i3 6006U ",2.0,4,"HDD",1024,0,"Intel","HD Graphics 520","WindowsOS",2.1,23816.0
151,"Dell","Gaming",15.6,"Full HD",1920,1080,0,"Intel"," Core i7 7700HQ ",2.8,16,"SSD",512,0,"Nvidia","GeForce GTX 1050","WindowsOS",2.56,66561.0
